Image	Neighborhood	CD3pCD8nPD1p	CD3pCD8pPD1n	CD68pPDL1n	CD3pCD8nPD1n	CD3pCD8pPD1p	CD79ApCD20n	PD1p	CD68pPDL1p	CD20p	LMA
CIHR DOD WU3IROC_Core[3,3,9]_[16956,52557]_component_data.tif - resolution #1	Cluster_1	3	2	11	3	0	0	1	0	0	3
CIHR DOD WU3IROC_Core[3,3,9]_[16956,52557]_component_data.tif - resolution #1	Cluster_2	3	5	9	5	1	0	3	0	1	4
CIHR DOD WU3IROC_Core[3,3,9]_[16956,52557]_component_data.tif - resolution #1	Cluster_3	4	10	9	7	1	0	1	0	1	2
CIHR DOD WU3IROC_Core[3,3,9]_[16956,52557]_component_data.tif - resolution #1	Cluster_4	2	17	10	11	1	0	4	5	1	2
CIHR DOD WU3IROC_Core[3,3,9]_[16956,52557]_component_data.tif - resolution #1	Cluster_5	1	8	20	14	0	2	0	11	0	4
CIHR DOD WU3IROC_Core[3,4,10]_[15596,53583]_component_data.tif - resolution #1	Cluster_1	31	23	26	33	4	13	15	3	10	4
CIHR DOD WU3IROC_Core[3,4,10]_[15596,53583]_component_data.tif - resolution #1	Cluster_2	4	3	0	24	2	0	1	0	0	4
CIHR DOD WU3IROC_Core[3,4,10]_[15596,53583]_component_data.tif - resolution #1	Cluster_3	2	5	1	9	1	0	0	0	0	2
CIHR DOD WU3IROC_Core[3,4,10]_[15596,53583]_component_data.tif - resolution #1	Cluster_4	116	27	9	93	22	0	50	18	25	4
CIHR DOD WU3IROC_Core[3,4,10]_[15596,53583]_component_data.tif - resolution #1	Cluster_5	26	6	26	22	3	9	11	6	7	4
CIHR DOD WU3IROC_Core[3,4,10]_[15596,53583]_component_data.tif - resolution #1	Cluster_6	7	6	10	11	1	1	6	2	2	4
CIHR DOD WU3IROC_Core[3,4,5]_[16240,47617]_component_data.tif - resolution #1	Cluster_1	4	3	2	4	3	6	1	2	0	4
CIHR DOD WU3IROC_Core[3,4,6]_[16145,48786]_component_data.tif - resolution #1	Cluster_1	0	1	22	3	5	0	0	66	0	7
CIHR DOD WU3IROC_Core[3,4,6]_[16145,48786]_component_data.tif - resolution #1	Cluster_2	7	0	7	5	8	8	1	30	0	7
CIHR DOD WU3IROC_Core[3,4,6]_[16145,48786]_component_data.tif - resolution #1	Cluster_3	0	1	5	2	0	15	0	4	0	6
CIHR DOD WU3IROC_Core[3,4,6]_[16145,48786]_component_data.tif - resolution #1	Cluster_4	6	2	0	6	6	3	2	18	0	7
CIHR DOD WU3IROC_Core[3,4,6]_[16145,48786]_component_data.tif - resolution #1	Cluster_5	14	12	42	16	24	45	5	55	2	3
CIHR DOD WU3IROC_Core[3,4,6]_[16145,48786]_component_data.tif - resolution #1	Cluster_6	2	2	2	0	0	9	0	6	0	6
CIHR DOD WU3IROC_Core[3,4,6]_[16145,48786]_component_data.tif - resolution #1	Cluster_7	0	0	4	2	1	12	0	0	0	6
CIHR DOD WU3IROC_Core[3,4,6]_[16145,48786]_component_data.tif - resolution #1	Cluster_8	9	2	3	4	8	7	2	36	0	7
CIHR DOD WU3IROC_Core[3,4,8]_[15930,51125]_component_data.tif - resolution #1	Cluster_1	0	0	45	0	0	0	0	0	0	1
CIHR DOD WU3IROC_Core[3,4,9]_[15739,52318]_component_data.tif - resolution #1	Cluster_1	1	1	14	0	0	0	0	1	0	1
CIHR DOD WU3IROC_Core[3,5,6]_[14952,48667]_component_data.tif - resolution #1	Cluster_1	3	31	8	9	0	0	0	0	0	2
CIHR DOD WU3IROC_Core[3,5,7]_[14808,49932]_component_data.tif - resolution #1	Cluster_1	1	12	3	16	1	0	1	0	0	2
CIHR DOD WU3IROC_Core[3,5,7]_[14808,49932]_component_data.tif - resolution #1	Cluster_10	5	24	11	10	14	3	1	0	4	2
CIHR DOD WU3IROC_Core[3,5,7]_[14808,49932]_component_data.tif - resolution #1	Cluster_11	14	34	21	22	12	1	5	0	0	2
CIHR DOD WU3IROC_Core[3,5,7]_[14808,49932]_component_data.tif - resolution #1	Cluster_12	4	10	7	1	1	0	1	0	0	2
CIHR DOD WU3IROC_Core[3,5,7]_[14808,49932]_component_data.tif - resolution #1	Cluster_2	2	16	6	3	4	0	0	0	0	2
CIHR DOD WU3IROC_Core[3,5,7]_[14808,49932]_component_data.tif - resolution #1	Cluster_3	1	7	2	6	0	0	0	0	0	2
CIHR DOD WU3IROC_Core[3,5,7]_[14808,49932]_component_data.tif - resolution #1	Cluster_4	1	8	5	5	1	0	0	0	2	2
CIHR DOD WU3IROC_Core[3,5,7]_[14808,49932]_component_data.tif - resolution #1	Cluster_5	2	11	4	1	3	0	0	0	3	2
CIHR DOD WU3IROC_Core[3,5,7]_[14808,49932]_component_data.tif - resolution #1	Cluster_6	3	6	3	2	2	0	1	0	0	2
CIHR DOD WU3IROC_Core[3,5,7]_[14808,49932]_component_data.tif - resolution #1	Cluster_7	1	9	7	1	0	0	0	0	0	2
CIHR DOD WU3IROC_Core[3,5,7]_[14808,49932]_component_data.tif - resolution #1	Cluster_8	1	13	3	10	3	0	0	0	1	2
CIHR DOD WU3IROC_Core[3,5,7]_[14808,49932]_component_data.tif - resolution #1	Cluster_9	0	6	3	5	2	0	0	0	0	2
CIHR DOD WU3IROC_Core[3,6,1]_[14116,42462]_component_data.tif - resolution #1	Cluster_1	0	0	14	0	0	0	0	2	0	1
CIHR DOD WU3IROC_Core[3,6,2]_[14045,43727]_component_data.tif - resolution #1	Cluster_1	0	0	13	0	0	0	0	7	0	3
CIHR DOD WU3IROC_Core[3,6,4]_[13926,46209]_component_data.tif - resolution #1	Cluster_1	0	0	22	1	0	0	0	0	0	1
CIHR DOD WU3IROC_Core[3,6,6]_[13758,48548]_component_data.tif - resolution #1	Cluster_1	0	5	10	3	1	0	0	0	0	3
CIHR DOD WU3IROC_Core[3,6,6]_[13758,48548]_component_data.tif - resolution #1	Cluster_2	1	14	3	2	0	2	0	0	9	2
CIHR DOD WU3IROC_Core[3,6,6]_[13758,48548]_component_data.tif - resolution #1	Cluster_3	2	24	8	2	3	2	0	0	7	2
CIHR DOD WU3IROC_Core[3,6,6]_[13758,48548]_component_data.tif - resolution #1	Cluster_4	0	11	1	1	0	0	1	0	2	2
CIHR DOD WU3IROC_Core[3,6,6]_[13758,48548]_component_data.tif - resolution #1	Cluster_5	1	7	11	0	2	2	0	0	0	3
CIHR DOD WU3IROC_Core[3,7,5]_[12565,47259]_component_data.tif - resolution #1	Cluster_1	3	2	3	3	2	0	1	8	0	7
CIHR DOD WU3IROC_Core[3,7,5]_[12565,47259]_component_data.tif - resolution #1	Cluster_2	4	6	0	0	1	0	0	4	1	5
CIHR DOD WU3IROC_Core[4,1,1]_[10582,42301]_component_data.tif - resolution #1	Cluster_1	1	2	9	4	2	0	0	0	0	3
CIHR DOD WU3IROC_Core[4,1,1]_[10582,42301]_component_data.tif - resolution #1	Cluster_2	2	7	4	8	3	0	0	0	1	2
CIHR DOD WU3IROC_Core[4,1,2]_[10535,43590]_component_data.tif - resolution #1	Cluster_1	4	5	5	7	4	0	0	0	0	4
CIHR DOD WU3IROC_Core[4,1,5]_[10272,46979]_component_data.tif - resolution #1	Cluster_1	5	3	23	24	4	0	4	1	40	4
CIHR DOD WU3IROC_Core[4,1,5]_[10272,46979]_component_data.tif - resolution #1	Cluster_2	6	0	4	4	0	0	1	0	7	4
CIHR DOD WU3IROC_Core[4,1,6]_[10248,48148]_component_data.tif - resolution #1	Cluster_1	0	3	6	6	1	0	0	0	0	3
CIHR DOD WU3IROC_Core[4,1,6]_[10248,48148]_component_data.tif - resolution #1	Cluster_2	13	15	13	65	5	4	11	0	67	4
CIHR DOD WU3IROC_Core[4,1,6]_[10248,48148]_component_data.tif - resolution #1	Cluster_3	1	4	11	9	0	0	2	0	0	3
CIHR DOD WU3IROC_Core[4,1,6]_[10248,48148]_component_data.tif - resolution #1	Cluster_4	22	3	16	15	7	0	5	1	10	4
CIHR DOD WU3IROC_Core[4,1,6]_[10248,48148]_component_data.tif - resolution #1	Cluster_5	0	1	4	5	0	0	0	0	7	4
CIHR DOD WU3IROC_Core[4,2,5]_[9103,46907]_component_data.tif - resolution #1	Cluster_1	4	1	5	1	0	4	0	0	1	3
CIHR DOD WU3IROC_Core[4,2,5]_[9103,46907]_component_data.tif - resolution #1	Cluster_10	0	0	2	1	1	8	2	3	1	6
CIHR DOD WU3IROC_Core[4,2,5]_[9103,46907]_component_data.tif - resolution #1	Cluster_2	7	0	1	1	10	3	6	41	4	7
CIHR DOD WU3IROC_Core[4,2,5]_[9103,46907]_component_data.tif - resolution #1	Cluster_3	1	0	1	0	5	0	2	8	3	7
CIHR DOD WU3IROC_Core[4,2,5]_[9103,46907]_component_data.tif - resolution #1	Cluster_4	15	0	3	4	5	10	1	9	4	6
CIHR DOD WU3IROC_Core[4,2,5]_[9103,46907]_component_data.tif - resolution #1	Cluster_5	5	0	0	1	10	1	1	1	1	5
CIHR DOD WU3IROC_Core[4,2,5]_[9103,46907]_component_data.tif - resolution #1	Cluster_6	63	13	8	7	46	150	32	60	40	6
CIHR DOD WU3IROC_Core[4,2,5]_[9103,46907]_component_data.tif - resolution #1	Cluster_7	11	3	0	2	8	10	5	14	1	7
CIHR DOD WU3IROC_Core[4,2,5]_[9103,46907]_component_data.tif - resolution #1	Cluster_8	1	2	1	0	5	6	0	3	0	6
CIHR DOD WU3IROC_Core[4,2,5]_[9103,46907]_component_data.tif - resolution #1	Cluster_9	2	1	0	0	14	0	1	1	0	5
CIHR DOD WU3IROC_Core[4,2,6]_[9079,48148]_component_data.tif - resolution #1	Cluster_1	3	0	3	1	3	13	2	1	0	6
CIHR DOD WU3IROC_Core[4,2,6]_[9079,48148]_component_data.tif - resolution #1	Cluster_10	2	0	2	0	1	1	0	18	0	7
CIHR DOD WU3IROC_Core[4,2,6]_[9079,48148]_component_data.tif - resolution #1	Cluster_11	5	0	2	0	4	9	1	27	1	7
CIHR DOD WU3IROC_Core[4,2,6]_[9079,48148]_component_data.tif - resolution #1	Cluster_2	0	2	0	1	6	0	1	6	0	5
CIHR DOD WU3IROC_Core[4,2,6]_[9079,48148]_component_data.tif - resolution #1	Cluster_3	8	1	2	2	10	5	0	18	5	7
CIHR DOD WU3IROC_Core[4,2,6]_[9079,48148]_component_data.tif - resolution #1	Cluster_4	6	0	1	1	1	2	0	16	4	7
CIHR DOD WU3IROC_Core[4,2,6]_[9079,48148]_component_data.tif - resolution #1	Cluster_5	2	0	0	0	0	2	1	11	2	7
CIHR DOD WU3IROC_Core[4,2,6]_[9079,48148]_component_data.tif - resolution #1	Cluster_6	22	0	0	4	11	2	4	25	20	7
CIHR DOD WU3IROC_Core[4,2,6]_[9079,48148]_component_data.tif - resolution #1	Cluster_7	3	1	2	4	5	11	0	2	2	6
CIHR DOD WU3IROC_Core[4,2,6]_[9079,48148]_component_data.tif - resolution #1	Cluster_8	3	4	0	3	4	0	3	1	0	5
CIHR DOD WU3IROC_Core[4,2,6]_[9079,48148]_component_data.tif - resolution #1	Cluster_9	6	0	2	1	1	0	3	6	0	7
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_1	1	2	1	0	4	12	0	7	0	6
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_10	9	8	1	2	13	15	4	32	3	7
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_11	0	0	0	2	5	5	1	7	1	6
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_12	1	1	1	0	3	13	1	6	0	6
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_13	1	1	1	0	1	7	0	8	1	6
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_14	1	1	6	1	5	9	1	7	4	6
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_15	0	1	3	0	5	10	0	2	0	6
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_16	5	0	2	0	1	14	1	18	0	6
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_17	3	2	1	0	31	4	1	6	1	5
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_2	1	4	2	1	8	3	1	7	0	5
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_3	3	4	1	1	5	14	0	9	0	6
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_4	0	4	0	2	5	8	2	6	0	6
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_5	2	0	0	1	2	4	1	14	0	7
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_6	12	0	2	4	5	21	1	27	0	7
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_7	2	0	2	0	4	7	0	0	3	6
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_8	2	2	4	2	2	9	2	3	0	6
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_9	4	8	4	0	18	3	1	7	11	5
CIHR DOD WU3IROC_Core[4,2,8]_[8840,50534]_component_data.tif - resolution #1	Cluster_1	2	0	11	1	2	5	0	7	0	3
CIHR DOD WU3IROC_Core[4,2,8]_[8840,50534]_component_data.tif - resolution #1	Cluster_2	1	2	0	0	3	9	1	7	1	6
CIHR DOD WU3IROC_Core[4,2,8]_[8840,50534]_component_data.tif - resolution #1	Cluster_3	3	5	0	2	5	6	0	19	3	7
CIHR DOD WU3IROC_Core[4,2,8]_[8840,50534]_component_data.tif - resolution #1	Cluster_4	3	1	1	0	10	12	0	14	1	6
CIHR DOD WU3IROC_Core[4,2,8]_[8840,50534]_component_data.tif - resolution #1	Cluster_5	1	0	1	0	2	1	2	7	2	7
CIHR DOD WU3IROC_Core[4,2,8]_[8840,50534]_component_data.tif - resolution #1	Cluster_6	0	1	0	1	3	1	0	10	0	7
CIHR DOD WU3IROC_Core[4,2,8]_[8840,50534]_component_data.tif - resolution #1	Cluster_7	0	0	0	1	2	6	0	9	0	6
CIHR DOD WU3IROC_Core[4,2,8]_[8840,50534]_component_data.tif - resolution #1	Cluster_8	2	0	0	1	3	8	2	4	0	6
CIHR DOD WU3IROC_Core[4,3,5]_[7886,46812]_component_data.tif - resolution #1	Cluster_1	0	11	0	3	0	0	1	1	1	2
CIHR DOD WU3IROC_Core[4,3,5]_[7886,46812]_component_data.tif - resolution #1	Cluster_2	8	4	0	2	9	0	2	8	1	7
CIHR DOD WU3IROC_Core[4,3,6]_[7814,47957]_component_data.tif - resolution #1	Cluster_1	3	12	3	11	0	1	1	14	2	4
CIHR DOD WU3IROC_Core[4,3,6]_[7814,47957]_component_data.tif - resolution #1	Cluster_2	1	0	14	0	0	0	0	1	0	1
CIHR DOD WU3IROC_Core[4,3,6]_[7814,47957]_component_data.tif - resolution #1	Cluster_3	3	8	6	5	2	2	2	4	0	4
CIHR DOD WU3IROC_Core[4,3,6]_[7814,47957]_component_data.tif - resolution #1	Cluster_4	6	2	1	6	1	2	0	2	0	4
